Time,PWM,ToF
6964.00000000,-70.00000000,58.18800000
6975.00000000,-70.00000000,59.38600000
6986.00000000,-70.00000000,60.58400000
6994.00000000,-70.00000000,61.45500000
7005.00000000,70.00000000,70.00000000
7016.00000000,-70.00000000,71.95300000
7025.00000000,-70.00000000,73.55100000
7035.00000000,-70.00000000,75.32700000
7052.00000000,-70.00000000,78.34500000
7063.00000000,-70.00000000,80.29900000
7074.00000000,-70.00000000,82.25200000
7090.00000000,-70.00000000,85.93000000
7097.00000000,-70.00000000,86.33600000
7102.00000000,-70.00000000,83.00000000
7117.00000000,-70.00000000,85.10000000
7125.00000000,-70.00000000,86.82000000
7130.00000000,-70.00000000,86.75200000
7145.00000000,-70.00000000,88.76200000
7155.00000000,-70.00000000,90.10300000
7165.00000000,-70.00000000,91.44300000
7171.00000000,-70.00000000,92.24700000
7181.00000000,-70.00000000,93.58700000
7193.00000000,-70.00000000,95.19500000
7204.00000000,-70.00000000,96.00000000
7215.00000000,-70.00000000,97.40100000
7226.00000000,-70.00000000,98.80300000
7241.00000000,-70.00000000,100.71500000
7251.00000000,-70.00000000,101.99000000
7256.00000000,-70.00000000,102.62700000
7269.00000000,-70.00000000,104.28400000
7274.00000000,-70.00000000,104.92100000
7290.00000000,-70.00000000,106.96000000
7301.00000000,-70.00000000,106.00000000
7316.00000000,-70.00000000,107.54600000
7326.00000000,-70.00000000,108.57700000
7336.00000000,-70.00000000,109.60800000
7346.00000000,-70.00000000,110.63900000
7357.00000000,-70.00000000,111.77300000
7368.00000000,-70.00000000,112.90700000
7379.00000000,-70.00000000,114.41000000
7394.00000000,-70.00000000,115.58700000
7404.00000000,70.00000000,120.00000000
7414.00000000,-70.00000000,121.35900000
7424.00000000,-70.00000000,122.71800000
7435.00000000,-70.00000000,124.21300000
7446.00000000,-70.00000000,125.70800000
7452.00000000,-70.00000000,126.52400000
7463.00000000,-70.00000000,128.19000000
7474.00000000,-70.00000000,129.51400000
7485.00000000,-70.00000000,131.90000000
7496.00000000,-70.00000000,132.50400000
7507.00000000,-70.00000000,129.00000000
7522.00000000,-70.00000000,130.31000000
7532.00000000,-70.00000000,131.18400000
7542.00000000,-70.00000000,132.58000000
7552.00000000,-70.00000000,132.93200000
7562.00000000,-70.00000000,133.80500000
7573.00000000,-70.00000000,134.76600000
7584.00000000,-70.00000000,135.72800000
7595.00000000,-70.00000000,136.68900000
7606.00000000,-70.00000000,138.00000000
7617.00000000,-70.00000000,139.00000000
7630.00000000,-70.00000000,140.18100000
7635.00000000,-70.00000000,140.63600000
7650.00000000,-70.00000000,142.00000000
7661.00000000,-70.00000000,143.00000000
7672.00000000,-70.00000000,144.00000000
7683.00000000,-70.00000000,145.00000000
7689.00000000,-70.00000000,145.54500000
7697.00000000,-70.00000000,146.27200000
7708.00000000,-70.00000000,142.00000000
7719.00000000,-70.00000000,142.43100000
7730.00000000,-70.00000000,142.86200000
7741.00000000,-70.00000000,143.29400000
7747.00000000,-70.00000000,143.52900000
7753.00000000,-70.00000000,143.76400000
7764.00000000,-70.00000000,144.19600000
7775.00000000,-70.00000000,144.62700000
7783.00000000,-70.00000000,144.94100000
7794.00000000,-70.00000000,145.37200000
7805.00000000,70.00000000,150.00000000
7816.00000000,-70.00000000,150.90700000
7824.00000000,-70.00000000,151.56700000
7840.00000000,-70.00000000,152.88600000
7851.00000000,-70.00000000,153.79300000
7860.00000000,-70.00000000,154.53600000
7871.00000000,-70.00000000,155.44300000
7882.00000000,-70.00000000,156.35000000
