2024-05-05 19:18:18,445 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:20:38,436 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:20:46,390 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:20:49,018 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:21:20,873 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 19:21:20,874 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 19:21:20,874 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:21:26,793 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:21:49,621 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 19:21:49,622 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 19:21:49,622 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:21:54,318 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:25:02,456 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:27:29,352 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:27:32,003 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:30:29,613 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
